"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"STEMMIULIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"CAMARODONTA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"HOPLONEMERTEA","1","0","1","1","0","2","1","1","1","3","0","0","1","1","6"
"ALLOGASTROPODA","0","0","0","0","0","0","3","3","5","11","0","3","14","9","37"
"ARCHITAENIOGLOSSA","6","0","6","16","0","22","57","42","50","149","0","41","173","109","478"
"CYCLONERITIDA","0","0","0","0","0","0","8","8","6","22","0","5","52","32","111"
"ELLOBIIDA","0","0","0","0","0","0","0","0","2","2","0","7","49","14","72"
"HYGROPHILA","9","0","9","5","0","14","18","22","26","66","0","15","223","198","511"
"HYPSOGASTROPODA","0","0","0","0","0","0","2","12","7","21","0","3","2","0","26"
"LEPETELLIDA","0","0","0","0","0","0","14","10","12","36","0","16","26","9","87"
"LITTORINIMORPHA","36","0","36","53","0","89","194","146","322","662","0","118","326","575","1,717"
"NEOGASTROPODA","0","0","0","0","0","0","5","14","32","51","0","31","480","113","675"
"NEOMPHALIDA","0","0","0","0","0","0","8","1","10","19","0","15","4","0","38"
"NUDIBRANCHIA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"PATELLIDA","2","0","2","0","0","2","1","1","2","4","0","2","2","0","10"
"PYLOPULMONATA","0","0","0","0","0","0","0","0","1","1","0","0","4","9","14"
"SEGUENZIIDA","0","0","0","0","0","0","3","0","2","5","0","1","0","0","6"
"SIPHONARIIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"SORBEOCONCHA","31","3","34","11","0","45","46","48","52","146","0","24","137","92","433"
"STYLOMMATOPHORA","181","13","194","52","2","248","275","225","471","971","0","389","1,182","485","3,221"
"SYSTELLOMMATOPHORA","0","0","0","0","0","0","0","1","0","1","0","0","2","0","3"
"TROCHIDA","0","0","0","0","0","0","5","2","3","10","0","1","4","2","17"
"CYCLOPOIDA","1","0","1","0","0","1","1","0","6","7","5","0","0","0","13"
"HARPACTICOIDA","0","0","0","0","0","0","0","0","18","18","3","0","0","1","22"
"SESSILIA","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"ASPIDOCHIROTIDA","0","0","0","0","0","0","0","7","9","16","0","0","111","244","371"
"MILLEPORINA","0","0","0","1","0","1","5","1","4","10","0","1","5","1","17"
"ARCHAEOGNATHA","0","0","0","0","0","0","0","1","1","2","0","0","1","0","3"
"BLATTODEA","1","0","1","6","0","7","8","7","0","15","0","0","8","2","26"
"COLEOPTERA","16","0","16","11","0","27","85","185","114","384","0","141","593","679","1,813"
"DERMAPTERA","1","0","1","0","0","1","3","1","0","4","0","0","1","1","7"
"DIPTERA","4","0","4","1","0","5","22","132","36","190","0","37","88","46","365"
"EPHEMEROPTERA","2","0","2","0","0","2","0","1","0","1","0","0","0","0","3"
"GRYLLOBLATTODEA","0","0","0","0","0","0","1","1","2","4","0","1","0","0","5"
"HEMIPTERA","2","0","2","4","0","6","16","20","9","45","0","8","6","0","61"
"HYMENOPTERA","0","0","0","3","0","3","11","20","155","186","0","27","106","317","636"
"ISOPTERA","0","0","0","0","0","0","2","0","0","2","0","0","2","0","4"
"LEPIDOPTERA","21","0","21","24","0","45","57","99","102","258","0","89","1,172","98","1,638"
"MANTODEA","2","0","2","0","0","2","0","1","3","4","0","3","13","16","38"
"NEUROPTERA","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3"
"ODONATA","1","0","1","19","0","20","96","311","301","708","0","237","3,447","1,830","6,223"
"ORTHOPTERA","3","1","4","24","0","28","115","190","222","527","3","166","590","205","1,495"
"PHASMIDA","1","0","1","1","0","2","5","1","2","8","0","10","62","23","104"
"PHTHIRAPTERA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"PLECOPTERA","1","0","1","0","0","1","1","1","2","4","0","0","2","0","7"
"PSOCOPTERA","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"SIPHONAPTERA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"THYSANOPTERA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"TRICHOPTERA","4","0","4","0","0","4","0","0","0","0","0","1","0","0","5"
"AMPHIPODA","1","0","1","0","0","1","9","6","57","72","0","0","1","0","74"
"ANASPIDACEA","0","0","0","0","0","0","0","0","4","4","0","0","0","0","4"
"DECAPODA","6","0","6","18","1","25","121","145","228","494","0","71","1,201","1,128","2,900"
"EUPHASIACEA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ISOPODA","0","1","1","0","0","1","8","10","22","40","0","1","1","2","45"
"MICTACEA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"MYSIDA","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2"
"AFROSORICIDA","0","0","0","1","0","1","1","7","9","17","0","2","32","4","55"
"CARNIVORA","6","0","6","1","0","7","4","31","43","78","0","30","177","6","297"
"CETARTIODACTYLA","8","2","10","2","0","12","16","49","57","122","0","38","141","25","336"
"CHIROPTERA","9","0","9","4","0","13","23","85","113","221","0","91","775","236","1,332"
"CINGULATA","0","0","0","0","0","0","0","0","2","2","0","5","8","5","20"
"DASYUROMORPHIA","1","0","1","0","0","1","0","5","5","10","0","11","47","3","72"
"DERMOPTERA","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"DIDELPHIMORPHIA","1","0","1","1","0","2","2","0","6","8","0","4","70","15","98"
"DIPROTODONTIA","8","0","8","2","0","10","15","14","23","52","0","23","64","0","147"
"EULIPOTYPHLA","7","0","7","1","0","8","11","41","25","77","0","14","288","108","494"
"HYRACOIDEA","0","0","0","0","0","0","0","0","0","0","0","1","4","0","5"
"LAGOMORPHA","1","0","1","0","0","1","2","14","8","24","0","2","63","6","96"
"MACROSCELIDEA","0","0","0","0","0","0","0","1","1","2","0","0","13","4","19"
"MICROBIOTHERIA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"MONOTREMATA","0","0","0","0","0","0","2","0","1","3","0","1","1","0","5"
"NOTORYCTEMORPHIA","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"PAUCITUBERCULATA","0","0","0","0","0","0","0","0","3","3","0","2","2","0","7"
"PERAMELEMORPHIA","3","0","3","0","0","3","0","3","6","9","0","0","9","1","22"
"PERISSODACTYLA","0","0","0","0","0","0","4","5","3","12","0","3","1","0","16"
"PHOLIDOTA","0","0","0","0","0","0","3","3","2","8","0","0","0","0","8"
"PILOSA","0","0","0","0","0","0","1","0","2","3","0","0","7","0","10"
"PRIMATES","2","0","2","2","0","4","88","145","115","348","0","43","115","14","522"
"PROBOSCIDEA","0","0","0","0","0","0","1","2","0","3","0","0","0","0","3"
"RODENTIA","38","0","38","15","0","53","60","144","128","332","0","102","1,496","407","2,375"
"SCANDENTIA","0","0","0","0","0","0","0","1","1","2","0","0","16","5","23"
"SIRENIA","1","0","1","0","0","1","0","0","4","4","0","0","0","0","5"
"TUBULIDENTATA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"CALANOIDA","1","0","1","0","0","1","2","0","47","49","0","0","0","19","69"
"MISOPHRIOIDA","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2"
"PLATYCOPIOIDA","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2"
"XIPHOSURA","0","0","0","0","0","0","0","1","1","2","0","0","0","2","4"
"TRYBLIDIIDA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"MYXINIFORMES","0","0","0","0","0","0","1","2","6","9","0","2","35","30","76"
"HALOCYPRIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"MYODOCOPIDA","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"PODOCOPIDA","2","0","2","0","0","2","1","0","8","9","0","0","0","0","11"
"EUNICIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"NERILLIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"LEPIDOPLEURIDA","0","0","0","0","0","0","0","1","0","1","0","1","0","0","2"
"CROCODYLIA","0","0","0","0","0","0","7","0","4","11","1","0","11","0","23"
"RHYNCHOCEPHALIA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"SQUAMATA","24","2","26","47","0","73","358","738","565","1,661","0","530","6,234","1,477","9,928"
"TESTUDINES","8","0","8","1","0","9","68","46","56","170","1","35","46","10","270"
"CERATODONTIFORMES","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"COELACANTHIFORMES","0","0","0","0","0","0","1","0","1","2","0","0","0","0","2"
"LEPIDOSIRENIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5"
"CAVIBELONIA","0","0","0","0","0","0","0","0","1","1","0","2","1","0","4"
"TRICLADIDA","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1"
"EUONYCHOPHORA","0","0","0","0","0","0","3","2","4","9","0","1","0","1","11"
"Total","776","40","816","687","12","1,515","3,877","6,060","6,963","16,900","18","4,994","48,642","15,712","87,082"
