"Assembly Accession","Organism Name","Organism Common Name","Organism Taxonomic ID","class","order","family","genus","Assembly Release Date","Assembly Sequencing Tech","Assembly Stats Contig N50"
"GCA_008658365.1","Alca torda","razorbill",28689,"Aves","Charadriiformes","Alcidae","Alca","2019-10-10","PacBio Sequel; Illumina NovaSeq; 10X Genome; Arima Hi-C",18221265
"GCA_029706075.1","Aldrovandia affinis","Gilbert's halosaur",143900,"Actinopteri","Notacanthiformes","Halosauridae","Aldrovandia","2023-04-12","Oxford Nanopore GridION; Oxford Nanopore PromethION",2000165
"GCF_017589495.1","Alosa alosa","allis shad",278164,"Actinopteri","Clupeiformes","Clupeidae","Alosa","2021-03-30","Oxford Nanopore MinION; Oxford Nanopore GridION; Oxford Nanopore PromethION; Illumina HiSeq",1188980
"GCA_029875135.1","Alosa fallax","twaite shad",278165,"Actinopteri","Clupeiformes","Clupeidae","Alosa","2023-04-26","Illumina NovaSeq",2043
"GCF_018492685.1","Alosa sapidissima","American shad",34773,"Actinopteri","Clupeiformes","Clupeidae","Alosa","2021-05-25","PacBio Sequel II HiFi; 10X Genomics linked reads; Bionano Genomics DLS; Arima Genomics Hi-C",1565278
"GCF_010909765.2","Amblyraja radiata","thorny skate",386614,"Elasmobranchii","Rajiformes","Rajidae","Amblyraja","2020-02-21","PacBio Sequel; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",1462921
"GCA_027576215.1","Amissidens hainesi","ridged catfish",591307,"Actinopteri","Siluriformes","Ariidae","Amissidens","2023-01-06","Illumina",369
"GCA_026122265.1","Ammodytes dubius","northern sand lance",1266862,"Actinopteri","Perciformes","Ammodytidae","Ammodytes","2022-11-15","PacBio",3578647
"GCA_949987685.1","Ammodytes marinus","lesser sand-eel",146480,"Actinopteri","Perciformes","Ammodytidae","Ammodytes","2023-05-03","PacBio,Arima2",2041615
"GCA_027123335.1","Amphiprion clarkii","yellowtail clownfish",80970,"Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","2022-12-21","PacBio Sequel; Illumina NovaSeq",1159304
"GCF_022539595.1","Amphiprion ocellaris","clown anemonefish",80972,"Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","2022-03-10","PacBio Sequel",812338
"GCA_003047355.2","Amphiprion percula","orange clownfish",161767,"Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","2018-11-28","PacBio",3123421
"GCF_004355925.1","Anarrhichthys ocellatus","wolf-eel",433405,"Actinopteri","Perciformes","Anarhichadidae","Anarrhichthys","2019-03-08","Illumina HiSeq",41757
"GCF_015476345.1","Anas platyrhynchos","mallard",8839,"Aves","Anseriformes","Anatidae","Anas","2020-11-23","PacBio RSII; PacBio Sequel",5679408
"GCF_013347855.1","Anguilla anguilla","European eel",7936,"Actinopteri","Anguilliformes","Anguillidae","Anguilla","2020-06-18","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",5114673
"GCA_025169545.1","Anguilla japonica","Japanese eel",7937,"Actinopteri","Anguilliformes","Anguillidae","Anguilla","2022-09-14","Oxford Nanopore",21484275
"GCA_901111315.1","Anguilla marmorata","giant mottled eel",7939,"Actinopteri","Anguilliformes","Anguillidae","Anguilla","2020-02-10",NA,16529
"GCA_901111305.1","Anguilla megastoma","Polynesian longfinned eel",86963,"Actinopteri","Anguilliformes","Anguillidae","Anguilla","2020-02-10",NA,14572
"GCA_901111295.1","Anguilla obscura","Pacific shortfinned eel",86964,"Actinopteri","Anguilliformes","Anguillidae","Anguilla","2020-02-10",NA,12681
"GCA_018555375.2","Anguilla rostrata","American eel",7938,"Actinopteri","Anguilliformes","Anguillidae","Anguilla","2021-05-28","PacBio Sequel; Oxford Nanopore PromethION",5018377
"GCA_900683385.1","Anoplogaster cornuta","common fangtooth",88656,"Actinopteri","Trachichthyiformes","Anoplogastridae","Anoplogaster","2019-06-15",NA,3719
"GCF_027596085.1","Anoplopoma fimbria","sablefish",229290,"Actinopteri","Perciformes","Anoplopomatidae","Anoplopoma","2023-02-16","Oxford Nanopore MinION; Illumina HiSeq",2569385
"GCA_002592135.1","Anser brachyrhynchus","Pink-footed goose",132585,"Aves","Anseriformes","Anatidae","Anser","2017-10-19","Illumina HiSeq",97462
"GCA_013358685.1","Antennarius maculatus","warty frogfish",882753,"Actinopteri","Lophiiformes","Antennariidae","Antennarius","2020-06-18","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",10114706
"GCA_900303275.1","Antennarius striatus","striated frogfish",241820,"Actinopteri","Lophiiformes","Antennariidae","Antennarius","2018-03-19",NA,6086
"GCA_021346845.1","Apeltes quadracus","fourspine stickleback",240154,"Actinopteri","Perciformes","Gasterosteidae","Apeltes","2022-01-03","PacBio Sequel",5710868
"GCA_029814545.1","Apogonichthyoides opercularis",NA,2943258,"Actinopteri","Kurtiformes","Apogonidae","Apogon","2023-04-18","Illumina",1917
"GCF_000699145.1","Aptenodytes forsteri","emperor penguin",9233,"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","2014-06-06","Illumina HiSeq",31730
"GCA_010087175.1","Aptenodytes patagonicus","king penguin",9234,"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","2020-01-31","BGISEQ",133461
"GCA_900642305.1","Arctocephalus gazella","antarctic fur seal",37190,"Mammalia","Carnivora","Otariidae","Arctocephalus","2019-02-08",NA,537425
"GCA_028646355.1","Arctocephalus townsendi","Guadalupe fur seal",161921,"Mammalia","Carnivora","Otariidae","Arctocephalus","2023-02-16","Illumina NovaSeq 6000",61084
"GCA_900303235.1","Arctogadus glacialis","Arctic cod",185735,"Actinopteri","Gadiformes","Gadidae","Arctogadus","2018-03-19",NA,3282
"GCA_013399435.1","Arenaria interpres","ruddy turnstone",54971,"Aves","Charadriiformes","Scolopacidae","Arenaria","2020-07-10","Illumina HiSeq",48252
"GCA_951799395.1","Argentina silus","greater argentine",446415,"Actinopteri","Argentiniformes","Argentinidae","Argentina","2023-05-27","PacBio,Arima2",858168
"GCA_015710095.1","Argyrosomus japonicus","mulloway",448029,"Actinopteri","Eupercaria incertae sedis","Sciaenidae","Argyrosomus","2020-12-02","Illumina NovaSeq; PacBio Sequel",13110246
"GCA_946959425.1","Argyrosomus regius","meagre",172269,"Actinopteri","Eupercaria incertae sedis","Sciaenidae","Argyrosomus","2022-12-25","""MinION,ILLUMINA""",7813463
"GCA_026413345.1","Ariopsis seemanni","Tete sea catfish",243726,"Actinopteri","Siluriformes","Ariidae","Sciades","2022-11-27","Illumina",3050
"GCA_025399975.1","Arius gagora","Gagora catfish",591255,"Actinopteri","Siluriformes","Ariidae","Arius","2022-09-25","Illumina",1657
"GCA_027575915.1","Arius madagascariensis","Madagascar sea catfish",591257,"Actinopteri","Siluriformes","Ariidae","Arius","2023-01-06","Illumina",2645
"GCA_016586285.1","Arothron firmamentum","starry toado",264149,"Actinopteri","Tetraodontiformes","Tetraodontidae","Arothron","2020-12-09","Illumina Hiseq X",17030
"GCA_026167865.1","Aspistor quadriscutis",NA,287711,"Actinopteri","Siluriformes","Ariidae","Aspistor","2022-11-14","Illumina",3086
"GCA_029874935.1","Atherina boyeri","big-scale sand smelt",87785,"Actinopteri","Atheriniformes","Atherinidae","Atherina","2023-04-26","Illumina NovaSeq",2873
"GCA_023101725.1","Atherinomorus stipes","hardhead silverside",94911,"Actinopteri","Atheriniformes","Atherinidae","Atherinomorus","2022-04-25","Oxford Nanopore MinION; Illumina HiSeq",422115
"GCA_029042245.1","Aythya marila","greater scaup",189534,"Aves","Anseriformes","Anatidae","Aythya","2023-03-15","Oxford Nanopore PromethION",32460729
"GCA_028877455.1","Bagre pinnimaculatus","red sea catfish",243720,"Actinopteri","Siluriformes","Ariidae","Bagre","2023-02-27","Illumina",2206
"GCF_949987535.1","Balaenoptera acutorostrata","minke whale",9767,"Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","2023-05-01","PacBio,Arima2",3015723
"GCA_000978805.1","Balaenoptera bonaerensis","Antarctic minke whale",33556,"Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","2015-03-18","Illumina HiSeq2000",8410
"GCF_009873245.2","Balaenoptera musculus","Blue whale",9771,"Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","2020-10-02","PacBio Sequel I; Illumina NovaSeq; 10X Genomics chromium; Dovetail Genomics HiC",6315640
"GCA_023338255.1","Balaenoptera physalus","Fin whale",9770,"Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","2022-05-11","10X Chromium",146061
"GCA_028023285.1","Balaenoptera ricei","Rice's whale",2746895,"Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","2023-01-30","PacBio Sequel II HiFi",36541936
"GCA_943591095.1","Bathydraco marri","deepwater dragon",12964,"Actinopteri","Perciformes","Bathydraconidae","Bathydraco","2022-07-13",NA,1625
"GCA_900302375.1","Bathygadus melanobranchus","Vaillant's grenadier",630650,"Actinopteri","Gadiformes","Macrouridae","Bathygadus","2018-03-19",NA,4956
"GCA_025212315.1","Batrachocephalus mino",NA,2862888,"Actinopteri","Siluriformes","Ariidae","Batrachocephalus","2022-09-14","Illumina",1940
"GCA_900323375.1","Benthosema glaciale","glacier lanternfish",125796,"Actinopteri","Myctophiformes","Myctophidae","Benthosema","2018-03-26",NA,4393
"GCA_900312565.1","Beryx splendens","splendid alfonsino",88663,"Actinopteri","Beryciformes","Berycidae","Beryx","2018-03-19",NA,4286
"GCF_026225935.1","Boleophthalmus pectinirostris","great blue-spotted mudskipper",150288,"Actinopteri","Gobiiformes","Gobiidae","Boleophthalmus","2022-11-17","PacBio RSII",835000
"GCA_900302515.1","Boreogadus saida",NA,44932,"Actinopteri","Gadiformes","Gadidae","Boreogadus","2018-03-19",NA,3221
"GCA_949987555.1","Borostomias antarcticus","large-eye snaggletooth",473354,"Actinopteri","Stomiiformes","Stomiidae","Borostomias","2023-05-03","PacBio,Arima2",959230
"GCA_020698575.1","Bostrychus sinensis","four-eyed sleeper",86224,"Actinopteri","Gobiiformes","Eleotridae","Bostrychus","2021-11-02","PacBio Sequel; Illumina HiSeq",28280916
"GCA_943590825.1","Bovichtus diacanthus",NA,483258,"Actinopteri","Perciformes","Bovichtidae","Bovichtus","2022-06-15",NA,31686
"GCA_943593645.1","Bovichtus variegatus","thornfish",36205,"Actinopteri","Perciformes","Bovichtidae","Bovichtus","2022-06-10",NA,33439
"GCA_016785285.1","Brachirus orientalis","oriental sole",435138,"Actinopteri","Pleuronectiformes","Soleidae","Euryglossa","2021-02-01","Illumina HiSeq 4000",352130
"GCA_029030835.1","Brachyistius frenatus","kelp perch",100188,"Actinopteri","Ovalentaria incertae sedis","Embiotocidae","Brachyistius","2023-03-14","Oxford Nanopore MinION; Illumina NovaSeq",2589815
"GCA_900302395.1","Bregmaceros cantori","striped codlet",630652,"Actinopteri","Gadiformes","Bregmacerotidae","Bregmaceros","2018-03-30",NA,4452
"GCA_900302425.1","Brosme brosme","tusk",81638,"Actinopteri","Gadiformes","Lotidae","Brosme","2018-03-18",NA,3682
"GCA_900303265.1","Brotula barbata","bearded brotula",432164,"Actinopteri","Ophidiiformes","Ophidiidae","Brotula","2018-03-20",NA,17578
"GCA_008921705.1","Burhinus oedicnemus","Eurasian thick-knee",85105,"Aves","Charadriiformes","Burhinidae","Burhinus","2019-10-08","Illumina HiSeq",93678
"GCA_028566615.2","Calidris melanotos","pectoral sandpiper",240202,"Aves","Charadriiformes","Scolopacidae","Calidris","2023-05-25","Illumina",3168
"GCA_016630915.1","Callionymus lyra","dragonet",34785,"Actinopteri","Callionymiformes","Callionymidae","Callionymus","2021-01-13","Oxford Nanopore MinION",2201294
"GCF_018977255.1","Callorhinchus milii","elephant shark",7868,"Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","2021-06-21","PacBio RSII",1626615
"GCF_003265705.1","Callorhinus ursinus","northern fur seal",34884,"Mammalia","Carnivora","Otariidae","Callorhinus","2018-06-26","Illumina HiSeq",133024
"GCA_013401115.1","Calonectris borealis","Cory's shearwater",1323832,"Aves","Procellariiformes","Procellariidae","Calonectris","2020-07-10","Illumina HiSeq",63034
"GCA_029224305.1","Caperea marginata","pygmy right whale",27604,"Mammalia","Cetartiodactyla","Neobalaenidae","Caperea","2023-03-16","10X Genomics Chromium",19492
"GCA_021432705.1","Caranx ignobilis","giant trevally",376895,"Actinopteri","Carangiformes","Carangidae","Caranx","2022-01-10","PacBio Sequel; Illumina HiSeq",7719230
"GCA_019059645.1","Caranx melampygus","bluefin trevally",181461,"Actinopteri","Carangiformes","Carangidae","Caranx","2021-06-29","PacBio Sequel",1469537
"GCA_900312935.1","Carapus acus","pearlfish",1491482,"Actinopteri","Ophidiiformes","Carapidae","Carapus","2018-03-18",NA,9554
"GCA_030264375.1","Carcharhinus longimanus","oceanic whitetip shark",302049,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","2023-06-13","Illumina",5282
"GCF_017639515.1","Carcharodon carcharias","great white shark",13397,"Elasmobranchii","Lamniformes","Lamnidae","Carcharodon","2021-03-30","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",6544962
"GCF_023653815.1","Caretta caretta","Loggerhead turtle",8467,NA,"Testudines","Cheloniidae","Caretta","2022-06-07","Illumina NovaSeq; Oxford Nanopore PromethION",18214114
"GCA_028877435.1","Cathorops dasycephalus","big-bellied sea catfish",419329,"Actinopteri","Siluriformes","Ariidae","Cathorops","2023-02-27","Illumina",1730
"GCA_028877395.1","Cathorops festae",NA,591291,"Actinopteri","Siluriformes","Ariidae","Cathorops","2023-02-27","Illumina",1906
"GCA_027576075.1","Cathorops hypophthalmus","gloomy sea catfish",419331,"Actinopteri","Siluriformes","Ariidae","Cathorops","2023-01-06","Illumina",2052
"GCA_027575975.1","Cathorops multiradiatus","box sea catfish",419332,"Actinopteri","Siluriformes","Ariidae","Cathorops","2023-01-06","Illumina",2020
"GCA_023349555.1","Cebidichthys violaceus","monkeyface prickleback",271503,"Actinopteri","Perciformes","Stichaeidae","Cebidichthys","2022-05-12","PacBio Sequel IIe; Dovetails OmniC; Illumina NovaSeq",1006396
"GCA_026898505.1","Centroberyx gerrardi","bight redfish",166262,"Actinopteri","Beryciformes","Berycidae","Centroberyx","2022-12-14","Oxford Nanopore PromethION",556002
"GCA_030273125.1","Centropristis striata","black seabass",184440,"Actinopteri","Perciformes","Serranidae","Centropristis","2023-06-20","PacBio CCS; Illumina NovaSeq",9508883
"GCA_027576275.1","Cephalocassis melanochir",NA,591264,"Actinopteri","Siluriformes","Ariidae","Cephalocassis","2023-01-06","Illumina",2443
"GCA_019142605.1","Cephalopholis sonnerati","tomato hind",160708,"Actinopteri","Perciformes","Serranidae","Cephalopholis","2021-07-06","PacBio Sequel",2482587
"GCA_013401065.1","Cepphus grylle",NA,28697,"Aves","Charadriiformes","Alcidae","Cepphus","2020-07-10","Illumina HiSeq",39689
"GCA_023974075.1","Chaenocephalus aceratus","blackfin icefish",36190,"Actinopteri","Perciformes","Channichthyidae","Chaenocephalus","2022-06-29","PacBio Sequel; Illumina NovaSeq",1500626
"GCA_943593825.1","Chaenodraco wilsoni","spiny icefish",70440,"Actinopteri","Perciformes","Channichthyidae","Chaenodraco","2022-06-15",NA,15823
"GCA_029783705.1","Chaetodon striatus","banded butterflyfish",75016,"Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon","2023-04-17","Illumina",7523
"GCA_025505535.1","Champsocephalus gunnari","mackerel icefish",52237,"Actinopteri","Perciformes","Channichthyidae","Champsocephalus","2022-09-30","Illumina HiSeq 2500; PE250",1648
"GCF_902362185.1","Chanos chanos","milkfish",29144,"Actinopteri","Gonorynchiformes","Chanidae","Chanos","2019-08-14",NA,23134051
"GCA_008711295.1","Charadrius alexandrinus","Kentish plover",50392,"Aves","Charadriiformes","Charadriidae","Charadrius","2019-09-27","Illumina HiSeq",129786
"GCF_000708025.1","Charadrius vociferus","killdeer",50402,"Aves","Charadriiformes","Charadriidae","Charadrius","2014-08-05","Illumina HiSeq",39278
"GCA_016785325.1","Chascanopsetta lugubris","pelican flounder",1003706,"Actinopteri","Pleuronectiformes","Bothidae","Chascanopsetta","2021-02-01","Illumina HiSeq 4000",14706
"GCA_900302635.1","Chatrabus melanurus","pony toadfish",990972,"Actinopteri","Batrachoidiformes","Batrachoididae","Chatrabus","2018-03-30",NA,4581
"GCF_018320785.1","Cheilinus undulatus","humphead wrasse",241271,"Actinopteri","Eupercaria incertae sedis","Labridae","Cheilinus","2021-05-12","Oxford Nanopore",16477222
"GCA_029853015.1","Chelidonichthys spinosus","red gurnard",450224,"Actinopteri","Perciformes","Triglidae","Chelidonichthys","2023-04-21","PacBio Sequel",13767766
"GCF_017976325.1","Chelmon rostratus","copperband butterflyfish",109905,"Actinopteri","Acanthuriformes","Chaetodontidae","Chelmon","2021-04-15","PacBio Sequel II CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",16959746
"GCA_030220025.1","Chelon auratus","golden grey mullet",48191,"Actinopteri","Mugiliformes","Mugilidae","Liza","2023-06-07","Illumina NovaSeq",9018
"GCA_029874265.1","Chelon labrosus","thicklip grey mullet",48171,"Actinopteri","Mugiliformes","Mugilidae","Chelon","2023-04-26","Illumina NovaSeq",4649
"GCA_029874045.1","Chelon ramada","thin-lipped mullet",30804,"Actinopteri","Mugiliformes","Mugilidae","Liza","2023-04-26","Illumina NovaSeq",4561
"GCF_015237465.2","Chelonia mydas","Green sea turtle",8469,NA,"Testudines","Cheloniidae","Chelonia","2021-07-15","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",39415510
"GCF_004010195.1","Chiloscyllium plagiosum","whitespotted bambooshark",36176,"Elasmobranchii","Orectolobiformes","Hemiscylliidae","Chiloscyllium","2019-01-10","BGIseq-500",40597
"GCA_003427335.1","Chiloscyllium punctatum","brownbanded bambooshark",137246,"Elasmobranchii","Orectolobiformes","Hemiscylliidae","Chiloscyllium","2018-08-02","Illumina HiSeq 1500",21276
"GCA_013398295.1","Chionis minor","black-faced sheathbill",227182,"Aves","Charadriiformes","Chionidae","Chionis","2020-07-10","Illumina HiSeq",128427
"GCA_943594065.1","Chionobathyscus dewitti",NA,70442,"Actinopteri","Perciformes","Channichthyidae","Chionobathyscus","2022-07-13",NA,1913
"GCA_009756495.1","Chionodraco hamatus","Antarctic icefish",36188,"Actinopteri","Perciformes","Channichthyidae","Chionodraco","2019-12-16","Illumina HiSeq",2261
"GCA_009756435.1","Chionodraco myersi","Myers' icefish",70433,"Actinopteri","Perciformes","Channichthyidae","Chionodraco","2019-12-16","Illumina HiSeq; PacBio RSII",42918
"GCA_013397655.1","Chroicocephalus maculipennis","brown-hooded gull",287016,"Aves","Charadriiformes","Laridae","Chroicocephalus","2020-07-10","Illumina HiSeq",39391
"GCA_900302755.1","Chromis chromis","damselfish",91607,"Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis","2018-03-21",NA,8509
"GCA_029619115.1","Clangula hyemalis","long-tailed duck",197941,"Aves","Anseriformes","Anatidae","Clangula","2023-04-07","Illumina HiSeq",47528
"GCA_023055335.1","Clinocottus analis","woolly sculpin",304258,"Actinopteri","Perciformes","Cottidae","Clinocottus","2022-04-19","PacBio Sequel II; Dovetail's OmniC; Illumina NovaSeq",9145431
"GCF_900700415.2","Clupea harengus","Atlantic herring",7950,"Actinopteri","Clupeiformes","Clupeidae","Clupea","2019-04-16",NA,1006413
"GCA_027475355.1","Coilia nasus","Japanese grenadier anchovy",365059,"Actinopteri","Clupeiformes","Engraulidae","Coilia","2022-12-28","PacBio",26648257
"GCA_016785305.1","Colistium nudipinnis","New Zealand turbot",1156758,"Actinopteri","Pleuronectiformes","Pleuronectidae","Colistium","2021-02-01","Illumina HiSeq 4000",141808
"GCA_004119915.2","Collichthys lucidus","big head croaker",240159,"Actinopteri","Eupercaria incertae sedis","Sciaenidae","Collichthys","2019-01-30","PacBio",1098566
"GCA_029692045.1","Conger conger","European conger",82655,"Actinopteri","Anguilliformes","Congridae","Conger","2023-04-12","Oxford Nanopore GridION; Oxford Nanopore PromethION; Illumina HiSeq",1398550
"GCA_002895965.2","Coryphaenoides rupestris","roundnose grenadier",163118,"Actinopteri","Gadiformes","Macrouridae","Coryphaenoides","2021-06-29","Illumina HiSeq; PacBio",62406
"GCA_025762715.1","Corythoichthys haematopterus",NA,211658,"Actinopteri","Syngnathiformes","Syngnathidae","Corythoichthys","2022-10-19","Illumina",3951
"GCF_030265065.1","Corythoichthys intestinalis","scribbled pipefish",161448,"Actinopteri","Syngnathiformes","Syngnathidae","Corythoichthys","2023-06-20","Pacbio Hi-Fi",56274649
"GCF_900634415.1","Cottoperca gobio",NA,56716,"Actinopteri","Perciformes","Bovichtidae","Cottoperca","2019-02-06",NA,6330900
"GCF_001723895.1","Crocodylus porosus","Australian saltwater crocodile",8502,"Crocodylia",NA,"Crocodylidae","Crocodylus","2016-09-13","Illumina HiSeq",34073
"GCA_013133815.1","Cromileptes altivelis","humpback grouper",304459,"Actinopteri","Perciformes","Serranidae","Cromileptes","2020-05-21","PacBio",18269829
"GCA_943590835.1","Cryodraco antarcticus",NA,36192,"Actinopteri","Perciformes","Channichthyidae","Cryodraco","2022-06-15",NA,17341
"GCA_029783645.1","Ctenochaetus hawaiiensis",NA,390315,"Actinopteri","Acanthuriformes","Acanthuridae","Ctenochaetus","2023-04-17","Illumina",12045
"GCF_009769545.1","Cyclopterus lumpus","lumpfish",8103,"Actinopteri","Perciformes","Cyclopteridae","Cyclopterus","2019-12-23","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",4950682
"GCF_000523025.1","Cynoglossus semilaevis","tongue sole",244447,"Actinopteri","Pleuronectiformes","Cynoglossidae","Cynoglossus","2014-01-28","Illumina HiSeq2000",27008
"GCF_000732505.1","Cyprinodon variegatus","sheepshead minnow",28743,"Actinopteri","Cyprinodontiformes","Cyprinodontidae","Cyprinodon","2015-10-01","Illumina",20803
"GCA_900302355.1","Cyttopsis rosea","rosy dory",1176755,"Actinopteri","Zeiformes","Parazenidae","Cyttopsis","2018-03-19",NA,4843
"GCA_901007715.1","Dactylopterus volitans","flying gurnard",94924,"Actinopteri","Dactylopteriformes","Dactylopteridae","Dactylopterus","2020-04-15",NA,8271
"GCA_024666655.1","Dascyllus trimaculatus","three spot damselfish",50790,"Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dascyllus","2022-08-16","Illumina HiSeq; Oxford Nanopore MinION",1014029
"GCA_030347415.1","Decapterus maruadsi","Japanese scad",58220,"Actinopteri","Carangiformes","Carangidae","Decapterus","2023-06-22","Oxford Nanopore PromethION",24671527
"GCF_002288925.2","Delphinapterus leucas","beluga whale",9749,"Mammalia","Cetartiodactyla","Monodontidae","Delphinapterus","2019-08-29","Illumina HiSeqX",196689
"GCA_030062865.1","Delphinus delphis","saddleback dolphin",9728,"Mammalia","Cetartiodactyla","Delphinidae","Delphinus","2023-05-24","Illumina NovaSeq; PacBio Sequel",54231611
"GCF_009764565.3","Dermochelys coriacea","leatherback sea turtle",27794,NA,"Testudines","Dermochelyidae","Dermochelys","2021-08-25","PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",7029801
"GCF_905237075.1","Dicentrarchus labrax","European seabass",13489,"Actinopteri","Eupercaria incertae sedis","Moronidae","Dicentrarchus","2021-04-24",NA,12677075
"GCA_903131615.1","Diplodus sargus","white seabream",38941,"Actinopteri","Eupercaria incertae sedis","Sparidae","Diplodus","2020-06-05",NA,27464
"GCA_900660315.1","Diretmoides pauciradiatus",NA,1415272,"Actinopteri","Trachichthyiformes","Diretmidae","Diretmoides","2019-06-19",NA,4028
"GCA_900660295.1","Diretmus argenteus","silver spinyfin",88682,"Actinopteri","Trachichthyiformes","Diretmidae","Diretmus","2019-06-15",NA,2172
"GCA_025770515.1","Dissostichus eleginoides","Patagonian toothfish",100907,"Actinopteri","Perciformes","Nototheniidae","Dissostichus","2022-10-20","PacBio Sequel",2530495
"GCA_011823955.1","Dissostichus mawsoni","Antarctic toothfish",36200,"Actinopteri","Perciformes","Nototheniidae","Dissostichus","2020-04-01","PacBio Sequel",3015437
